first_name,company_name,address,city,county,Phone1,phone,website,email,Tags,Year Founded
Fedek Telecom,Fedek Telecom,Al harthiya Alkindy St,Baghdad,Iraq,7803471566,,www.fedehtel.net, masab@fedehtel.net,"
  Communications   ",0
Frequency Co,Frequency Co,Shaqlawa Way-Shorash St,Erbil,Iraq,7701246666,7504053434,,frequencyco@yahoo.com,"
  Communications   ",0
Future Hawk Co.,Future Hawk Co.,Karada Kharje,Baghdad,Iraq,7711355346,7905990066,www.f-htc.com,contact@f-htc.com,"
  Communications   ",0
H T S  communications Co.,H T S  communications Co.,Malik Mahmoud St.,Sulaymaniyah,Iraq,964533310148,964533310147,www.halabjagroup.com,info@halabjagroup.com,"
  Communications   ",0
Hilal Al-Rafidain communications Co.,Hilal Al-Rafidain communications Co.,14 Ramdan St.,Baghdad,Iraq,7809126941,7809192747,,info@hrins.net,"
  Communications   ",0
Huawel Technologies Co.Ltd.,Huawel Technologies Co.Ltd.,ltalian Village 100m St.,Erbil,Iraq,7508172763,,www.huawei.com,,"
  Communications   ",0
I reach Co.,I reach Co.,Italian City Village,Erbil,Iraq,7507266860,964664545235,www.ireachtelecom.com,kamel.shokur@ireachtelecom.com,"
  Communications   ",0
I2,I2,Sadoon ,Baghdad,Iraq,7901904598,96417195330,www.i2-Mobil.com,info.i2iraq@itsalat.com,"
  Communications   ",0
I-Tech ,I-Tech ,Al Harthia Kindy St,Baghdad,Iraq,7901323291,7901323293,,itech_2007@yahoo.com,"
  Communications   ",0
Itisaluna,Itisaluna,Arassart El Hendia ,Baghdad,Iraq,7400400400,7400500500,www.itisaluna.com,info@itisaluna.com,"
  Communications   ",0
Joinus communications,Joinus communications,Ankawa St,Erbil,Iraq,964662535888,info@joinus.net.co,www.joinus.net.co,info@joinus.net.co,"
  Communications   ",0
Kalimat Al-Mostaqbal co,Kalimat Al-Mostaqbal co,Zayouna M 714  St,Baghdad,Iraq,7435300111,,www.kalimattelecom.com,kalimat_al_mostaqbal@yahoo.com,"
  Communications   ",0
Khalava Co,Khalava Co,KRO St.,Duhok,Iraq,9647701104550,9647709113333,,khalava.asiacell@gmail.com,"
  Communications   ",0
Korek Telecom,Korek Telecom,Kurdistan St,Erbil,Iraq,7504450022,662423406,www.korektel.com,info@korektel.com,"
  Communications   ",0
Kurdo Card Co,Kurdo Card Co,40m St.,Duhok,Iraq,7709500142,7508677494,,,"
  Communications   ",0
Kurdtel Co. Ltd.,Kurdtel Co. Ltd.,Kawa St.,Sulaymaniyah,Iraq,964533139400,info@kurdtel.net,www.kurdtel.net,info@kurdtel.net,"
  Communications   ",0
Maekeront co,Maekeront co,Hay Albaladiya,Karbala,Iraq,7708787874,,,waal_azher@yahoo.com,"
  Communications   ",0
Maraj  Al-Bahrain ,Maraj  Al-Bahrain ,Karada Dakhil ,Baghdad,Iraq,7801031000,7810210333,www.morajalbhrain.com, zain@morajalbhrain.com,"
  Communications   ",0
Masarat communications Co.,Masarat communications Co.,zayouna main St,Baghdad,Iraq,780805038,7902272267,www.gccitcom.com,info@gccitcom.com,"
  Communications   ",0
Maxy Tel communications.,Maxy Tel communications.,Nawroz St.,Erbil,Iraq,7501386136,964662646622,www.maxytel.com,info@maxytel.com,"
  Communications   ",0
Nawand Telecom,Nawand Telecom,60th m St.,Erbil,Iraq,7501146822,964662575310,www. nawand.net,waleed.surchi@nawand.net,"
  Communications   ",0
Neide Telecom,Neide Telecom,Erbil,Erbil,Iraq,7504325709,964664544409,www.neidetelecom.com,Ibrahim.sarmad@neidetelecom.com,"
  Communications   ",0
Nevan Co. ,Nevan Co. ,Ankawa,Erbil,Iraq,7504523763,7504453740,, nevaninternet@yahoo.com,"
  Communications   ",0
NewRoz  communications.,NewRoz  communications.,Karez St.,Erbil,Iraq,7706405461,964662593667,www.newroztelecom.com,amange.basll@newroztelecom.com,"
  Communications   ",0
Niara Co. Ltd.,Niara Co. Ltd.,Sulamanya,Sulaymaniyah,Iraq,7501128164,7701521805,www.niara.biz,naira.co@hotmail.com,"
  Communications   ",0
North Teams,North Teams,Bakhtyary St.,Sulaymaniyah,Iraq,7702134059,,, bahzad.farid@northteams.com,"
  Communications   ",0
Omnnea Wireless Telecom,Omnnea Wireless Telecom,Baghdad,Baghdad,Iraq,7601990300,7600000888,www.omnnea.com,info@omnnea.com,"
  Communications   ",0
Reber,Reber,Ankawa,Erbil,Iraq,664544230,662593593,, Soran.mohammed@newroztelecom.com,"
  Communications   ",0
Rey Telecom,Rey Telecom,English Village ,Erbil,Iraq,7503284733,7507679240,www.rey-telecom.com,govan.s@rey-telecom.com,"
  Communications   ",0
Scope Sky Communications,Scope Sky Communications,Erbil,Erbil,Iraq,7905465120,7702540903,,ahmed_4g4@yahoo.com,"
  Communications   ",0
Sefin  communications.,Sefin  communications.,Bakhtyari St.,Erbil,Iraq,7504050001,,www.sefintel.com,info@sefintel.com,"
  Communications   ",0
Sefin Tele Communication ltd.,Sefin Tele Communication ltd.,Erbil,Erbil,Iraq,7504050001,7504050010,www.sefintel.com,kirmanj@sefintel.com,"
  Communications   ",0
Shana Co.,Shana Co.,Medan Ahmaed,Duhok,Iraq,7504455040,7700505040,,shana.asiacell@gmail.com,"
  Communications   ",0
Show Time,Show Time,Al Sadoon St.,Baghdad,Iraq,7901906655,17195519,,,"
  Communications   ",0
Sinatel Co. Ltd. ,Sinatel Co. Ltd. ,60thm St,Erbil,Iraq,7504537216,964662516182,www.Sinatel.org,hoshmand@sinatel.org,"
  Communications   ",0
Sky Net,Sky Net,Ankawa,Erbil,Iraq,7501447483,,,erbil@skynetiq.com,"
  Communications   ",0
Sonix Electronics,Sonix Electronics,100th m St.,Erbil,Iraq,7704456335,7504456335,www. samsima.net,,"
  Communications   ",0
Southern Telecommunication Co.,Southern Telecommunication Co.,Al Barathia,Basra,Iraq,7704925301,96440642599,, south_te@yahoo.com,"
  Communications   ",0
Talia Satellite & Telecom,Talia Satellite & Telecom,Al Mansour Al Amirat,Baghdad,Iraq,7800553980,7712218263,www.talia.net, havi@talia.net,"
  Communications   ",0
Tishk Net communications Co.,Tishk Net communications Co.,Malik Mahmoud St.,Sulaymaniyah,Iraq,964535710,info@tishknet.com,www.tishknet.com,info@tishknet.com,"
  Communications   ",0
Via Telecom,Via Telecom,Erbil,Erbil,Iraq,7504493555,,, muafaqshareef@yahoo.com,"
  Communications   ",0
Vision (Security & Telecom),Vision (Security & Telecom),Ankawa St.,Erbil,Iraq,7504451104,,, edygho@atsecurity.info,"
  Communications   ",0
Vlatacom Communications.,Vlatacom Communications.,English Village ,Erbil,Iraq,9647507980703,,www.vlatacom.com,info@vlatacom.com,"
  Communications   ",0
Zahrat Al-Sanaria Co.,Zahrat Al-Sanaria Co.,Mosul,Mosul,Iraq,7701742471,,, alsaffarbasman@gmail.com,"
  Communications   ",0
Zain,Zain,Almansoor-Hay Almutanabi –bldg. 47-str.,Baghdad,Iraq,15410960,,www.zain.com,,"
  Communications   ",0
Zozik  communications Co.,Zozik  communications Co.,Erbil,Erbil,Iraq,7504956356,964662641334,www.zozik.com,Bzhar_gardy@hotmail.com,"
  Communications   ",0
Call center,Cybertronics ,ganjan city ,Erbil,Iraq,7509113238,7509113239,http://www.cybertronicsltd.com,info@cybertonicsltd.com,"
  Computers    Internet    IT   ",2013
Capt Muhanad Alwan,Trans Arabia Marine Services Co,Al-Mansour Street,Baghdad,Iraq,9647826886943,9647708378049,www.transarabiaa.com,info@transarabiaa.com,"
  Transport & Shipment   ",2011
7508470049,Clue Company for Decoration,meter 100,Erbil,Iraq,7508470049,,www.cluecompany.com,decoration@cluecompany.com,"
  Aluminium & Glass    Ceramics    Contracting    Decor    Furniture    Insulating Materials    State Owned Ent. (SOE)   ",2006
Asuman  P.V.C Co.,Asuman  P.V.C Co.,100 m St,Erbil,Iraq,662226638,662524167,www.akopvc.com,,"
  Aluminium & Glass   ",0
7508470049,Clue  Company,100 متري,Erbil,Iraq,7508470049,, www.cluecompany.com,,"
  Contracting    Decor    General Trading & Contracting    State Owned Ent. (SOE)   ",2006
9647503023333,REBER ELECTRIC,zaxo,Zakho,Iraq,9647503023333,9647503906921,www.reberelektrik@gmail.com,www.reberelektrik@gmail.com,"
  Contracting    Electric Materials    General Trading & Contracting   ",1994
0,AlDaleel  IT,Hay Alkindi,Baghdad,Iraq,7901907253,7400188998,www.aldaleel-int.com,baghdad@aldaleel-int.com,"
  IT   ",2013
1,AlWusool Co,alsina,Baghdad,Iraq,7901187588,7400227168,www.alwusool.com,info@alwusool.com,"
  IT   ",2015
2,AlSaffar It,alsnai,Erbil,Iraq,7507835780,,,erbil@alsaffar.co,"
  IT   ",2014
AlMasa It Solution,AlMasa It Solution,baghdad,Baghdad,Iraq,7702577355,1-7188952,www.masairaq.com,hameed.it@masairaq.com,"
  IT   ",2004
AlFiker Information Technology,AlFiker Information Technology,baghdad,Baghdad,Iraq,7901176702,1-7174633-1-7174850,,al_fiker@yahoo.com,"
  IT   ",0
0,Al Sadeer Company  PVC ,Alsamair,Basra,Iraq,00964 7801024334,00964 7710822200,,,"
  Aluminium & Glass   ",0
0,AlAseel CoPVC,Nasier Sq Tunisia St,Baghdad,Iraq,7710066080,7905371586,,,"
  Aluminium & Glass   ",0
0,AlEssam CoPVC,Nasir Sq,Baghdad,Iraq,7901906937,7708000999,,eagle_nn1@yahoo.com,"
  Aluminium & Glass   ",0
0,AlGaohra Turkish COPVC,Nasier Sq,Baghdad,Iraq,7905271027,,,,"
  Aluminium & Glass   ",0
0,AlJawharaa Co,Tunis St,Baghdad,Iraq,7902371465,7709942019,,,"
  Aluminium & Glass   ",0
0,AlRawaa Alturkeyah Co,Falestain St,Baghdadi,Iraq,7506096747,7903180291,,,"
  Aluminium & Glass   ",0
0,AlHassan CoPVC,Nasser Sq,Baghdad,Iraq,7709113350,7705451532,, al_hassangroup@yahoo.com,"
  Aluminium & Glass   ",0
0,AlQamer Office PVC,AlNaser SqTunis St,Baghdad,Iraq,702508985,7704672592,,,"
  Aluminium & Glass   ",0
0,AlKing Co,AlJadrya N,Baghdad,Iraq,7703233871,7813625086,,alsharqi_co@yahoo.com,"
  Aluminium & Glass   ",0
0,Alyam CoPVC,Nasier Sq Tunisia St,Baghdad,Iraq,7901369366,,,,"
  Aluminium & Glass   ",0
0,Asia Company  PVC,60m St,Erbil,Iraq,7504487412,,,,"
  Aluminium & Glass   ",0
0,Bilen  Company PVC,Kareza Weshk St,Sulaymaniyah,Iraq,7503851455,7701571065,,mustafabilen49@hotmail.com,"
  Aluminium & Glass   ",0
0,Boss Co PVC,60m StNear The White Mosque,Erbil,Iraq,7504091414,7504534369,,boss_co@live.de,"
  Aluminium & Glass   ",0
0,Beyoutat Co PVC,Italian City No362,Erbil,Iraq,7501988432,,,beyoutat@yahoo.com,"
  Aluminium & Glass   ",0
0,Casia Company PVC,Malik Mahmoud St,Sulaymaniyah,Iraq,7701527673,7702101914,,,"
  Aluminium & Glass   ",0
0,Cdoor Company PVC,100m St,Erbil,Iraq,7504452655,7706424252,www.ske1.com,gadar_co@yahoo.com,"
  Aluminium & Glass   ",0
0,Chalishkan Co PVC,Koya StModern City Bldg,Erbil,Iraq,7504831616,7503831616,,chalishkan_2008@yahoo.com,"
  Aluminium & Glass   ",0
AlBadri  Co,AlBadri  Co,KahrmanaOpp,Baghdad,Iraq,7901924739,7901924732,www.aitc-iraq.com,info@aitc-iraq.com,"
  IT   ",1986
0,Comar Office,Nasier Sq,Baghdad,Iraq,7902976485,7708856712,,,"
  Aluminium & Glass   ",0
AlHamd IT,AlHamd IT,Hay Alsaad,Najaf,Iraq,7801006490,,,,"
  IT   ",2015
0,Crystal CoPVC,July14Near the Alabaechi mosque,Basra,Iraq,7707333043,7801172919,,crystalcom82@yahoo.com,"
  Aluminium & Glass   ",0
Alkafeel IT,Alkafeel IT,Alaskan St,Karbala,Iraq,7709608884,7818800949,www.alkafeel.info,info@alkafeel.info,"
  IT   ",2015
0,Dalal Co PVC,Makhmoor RoadBehibd Gal Station,Erbil,Iraq,7504322339,7704054979,,,"
  Aluminium & Glass   ",0
0,Dar AlSalam Co PVC ,Nasier Sq Tunisia St,Baghdad,Iraq,7712797525,7902681221,,,"
  Aluminium & Glass   ",0
0, Diger Co PVC,Nasier Sq,Baghdad,Iraq,707885564,7400200131,,alminumdigr@yahoo.com,"
  Aluminium & Glass   ",0
0,Dijla  Rozhano CO PVC ,Kwesinjaq Stnear Alrasool Hospital,Erbil,Iraq,7507974632,7706455551,www.dijlagroup.com,rozhano@rozhano.com-dijlaco@nol.com.jo,"
  Aluminium & Glass   ",0
AlNabaa IT,AlNabaa IT,AlSinaa St,Baghdad,Iraq,7901706973,7901594099,www.al-nabaa.com,info@al-nabaa.net,"
  IT   ",1989
AlSaif Co IT,AlSaif Co IT,Karada,Baghdad,Iraq,,noorbadri@gmail.com,www.sitc-iraq.com,noorbadri@gmail.com,"
  IT   ",2015
Asi Bex It Solution,Asi Bex It Solution,Mansoor St,Baghdad,Iraq,7809100863,1-5435732,,iraqbranch@asibex.com.jo,"
  IT   ",2015
0,Dijla AlIraq Co,Naseer Sq,Baghdad,Iraq,7901360997,7805903413,,dijlairco@hogtmail.com,"
  Aluminium & Glass   ",0
Amyar IT,Amyar IT, Barzani Nemr St,Erbil,Iraq,964-7504994428,,www.amyarco.com,naska.om@amyarco.com,"
  IT   ",2015
0,Dismar Co PVC, Oppsite Haji Ibrahim St,Duhok,Iraq,7503313867,,www.dismargroup.com,cetin_erkan_1969@hotmail.co,"
  Aluminium & Glass   ",0
Ataa AlWakeel Co IT,Ataa AlWakeel Co IT,KaradaSadoon St,Baghdad,Iraq,7705370635,7901573775,,canon_iraq@yahoo.com,"
  IT   ",2015
Av Solutions IT,Av Solutions IT,KaradaMain St,Baghdad,Iraq,7901844727,964 1-7762525,www.avsolutionsco.com,zaid.a@avsolutionsco.com,"
  IT   ",2015
0,Dubai Steel Co PVC,Sadoon Baiaa Al Hay Senaee,Baghdad,Iraq,7702412508,7800057903,www.dubaisco.com,steel_co2002@yahoo.com,"
  Aluminium & Glass   ",0
AVA IT Co,AVA IT Co,Salim St,Sulaymaniyah,Iraq,7701524212,,www.avagroup.com,info@avagroup.com,"
  IT   ",2015
0,Erkan Bena Co PVC,100thm St,Erbil,Iraq,7701347777,7504052589,,tahakopru@hotmail.com,"
  Aluminium & Glass   ",0
Avesta Group IT,Avesta Group IT,st,Baghdad,Iraq,7504817657,7701309816,www.avestagroup.net,ali@avestagroup.net,"
  IT   ",2015
0,Fwar  Company PVC,100m St,Erbil,Iraq,7504480772,,,fwar.2013@hotmail.com,"
  Aluminium & Glass   ",0
Albayan Co,Albayan Co,AlMansoor St,Baghdad,Iraq,7707770515,7809190135,www.nooralbayan.net,si.alshawi@nooralbayan.net,"
  IT   ",2015
Babel IT,Babel IT,baghdad,Baghdad,Iraq,7901327596,7400192034,www.babeltech.net,info@babeltech.net,"
  IT   ",2015
Baghdad  ITCo,Baghdad  ITCo,baghdad,Baghdad,Iraq,964 1-7170720,964 1-7170714,,,"
  IT   ",2015
0,Gader Co PVC,100  m St,Erbil,Iraq,7504452655,7504454852,,fwar.2013@hotmail.com,"
  Aluminium & Glass   ",0
Canon IT,Canon IT,Aras St,Erbil,Iraq,7504459945,,,canon_arbil@yahoo.com,"
  IT   ",2015
0,Guzel Company,southern industrial zone,Erbil,Iraq,7706400402,7504700111,www.guzelpvc.com,info@guzelpvc.com,"
  Aluminium & Glass   ",0
Chemi Link IT,Chemi Link IT,baghdad,Baghdad,Iraq,7801189561,,www.chemi-link.com,a.maghdad@chemi-link.com,"
  IT   ",2015
Dot Net IT,Dot Net IT,Salim St,Sulaymaniyah,Iraq,7501536101,964 53-3210109,www.dotnetit.net,firyad@dotnetit.net,"
  IT   ",2015
0,Golf Co,duhok,Duhok,Iraq,7703996185,,,taeger_fany23@yahoo.com,"
  Aluminium & Glass   ",0
Dots Pro It,Dots Pro It,erbil,Erbil,Iraq,7508347474,,www.dotsexpo.com,erbil@dots-pro.com,"
  IT   ",2015
0,Hawraz PVC Co,Elban St,Erbil,Iraq,7704484704,7504484704,,,"
  Aluminium & Glass   ",0
EJAF IT,EJAF IT,Italian Village No30,Erbil,Iraq,7501914255,964-66-2462658,www.ejaftech.com,y.alfarra@ejaftech.com,"
  IT   ",2015
0,Hiva Company PVC,100m St,Erbil,Iraq,0 7504104243,7504354141,,,"
  Aluminium & Glass   ",0
Electric Power Services IT,Electric Power Services IT,Guran st,Erbil,Iraq,7702716565,,,hendrean1973@yahoo.com,"
  IT   ",2015
Elegant Floor For Technologies  Solutions IT,Elegant Floor For Technologies  Solutions IT,100th  St,Erbil,Iraq,7704885124,,www.elegant-floor.com,aousj@rockss.com,"
  IT   ",2015
0,Hiway Firdows Co,Koye Road,Erbil,Iraq,7704477480,7504477480,www.hiwayfirdows.com,info@hiwayfirdows.com,"
  Aluminium & Glass   ",0
Electronic Center,Electronic Center,AlSaadi St,Basra,Iraq,7812464446,7714064446,www.kamarain.com,ec@kamarain.com,"
  IT   ",2015
0,Home Style  PVC Co,100m St,Erbil,Iraq,7507804843,7504907590,,,"
  Aluminium & Glass   ",0
Fourth  Dimension Office IT,Fourth  Dimension Office IT, AlShekh Omar,Baghdad,Iraq,7901758137,7901208002,,husam_seiko_2005@yahoo.com,"
  IT   ",2015
0,Hend Co,KRO St,Duhok,Iraq,7504500580,7504677893,www.hendpo.com,info@hendpo.com,"
  Aluminium & Glass   ",0
Fusion Excel IT,Fusion Excel IT,Nineveh International Hotel,Mosul,Iraq,7704825517,,www.fusionexcel.com,muathalmallah@gmail.com,"
  IT   ",2015
0,Izzadin Co PVC,southern industrial zone,Erbil,Iraq,7504485076,964 66 2291020,,izzadinaluminium@yahoo.com,"
  Aluminium & Glass   ",0
Getty IT,Getty IT,Ankawa,Erbil,Iraq,964 66-2253336,,www.gettytech.com,lana.ali@gettytech.com,"
  IT   ",2015
Global Esta Software Co,Global Esta Software Co,baghdad,Baghdad,Iraq,7705767427,,www.globaleastsw.com,raid.nahi@globaleastsw.com,"
  IT   ",2015
0,Karim Alabodi CoPVC,Nasier Sq Tunisia St,Baghdad,Iraq,7901613947,964 1-8186583,www.alabodi.net,karim-alabodi.com,"
  Aluminium & Glass   ",0
0,Krestal Co PVC,14 Tamuz,Basra,Iraq,7707333043,7801172919,,shkespeares@yahoo.com,"
  Aluminium & Glass   ",0
0,Kodia Co,Sadoon St,Baghdad,Iraq,7708886696,7802044312,,akpa.iraq@yahoo.com,"
  Aluminium & Glass   ",0
Hanaw Pen Co IT,Hanaw Pen Co IT,sulaymaniyah,Sulaymaniyah,Iraq,7701539561,7701975121,,hanawpen@yahoo.com,"
  IT   ",2015
High Tech CoIT,High Tech CoIT,Almudaffarea St,Erbil,Iraq,964 66-2226345,964 66-2232757,www.hightechiraq.com,info@hightechiraq.com,"
  IT   ",2015
Lamasat  Co  PVC,Lamasat  Co  PVC,AlNasar Sq,Baghdad,Iraq,7901529125,7702799338,www.lamasat-iraq.com,info@lamasat-iraq.com,"
  Aluminium & Glass   ",0
I S C IT,I S C IT,AlNidhal St,Baghdad,Iraq,7400142760,1-8160317,www.isciraq.com,isc@isciraq.com,"
  IT   ",2015
Makbas CO PVC,Makbas CO PVC,sulaymaniyah,Sulaymaniyah,Iraq,7504538530,7504855343,,,"
  Aluminium & Glass   ",0
ICAS IT,ICAS IT,Italian Village Villa No 210,Erbil,Iraq,964 7508474491,964-7508474492,www.icasiraq.com,Hussein.hamieh@icasiraq.com,"
  IT   ",2015
ICS Technologies IT,ICS Technologies IT,erbil,Erbil,Iraq,7705064679,7504284936,www.ics-technologies-irq.com,technologies-irq.com,"
  IT   ",2015
Mardo Company PVC ,Mardo Company PVC ,60m St,Erbil,Iraq,7504056060,7504403075,,,"
  Aluminium & Glass   ",0
Info tech IT,Info tech IT,60 m St AlMansur,Baghdad,Iraq,7703458929,7702784448,www.infotechbs.com,muhannad_abdulwahad@infotechbs.com ,"
  IT   ",2015
Mecano AlWatany,Mecano AlWatany,Ashar AlWatany St ,Basra,Iraq,7713170045,7906589407,,,"
  Aluminium & Glass   ",0
Integrated Solutions for IT,Integrated Solutions for IT,Airport road,Erbil,Iraq,7605041120,7504579235,www.intg-sols.com,info@intg-sols.com,"
  IT   ",2015
Mecano AlWatany,Mecano AlWatany,Ashar AlWatany St ,Basra,Iraq,7713170045,7906589407,,,"
  Aluminium & Glass   ",0
Iraq com IT,Iraq com IT,Salim St,Sulaymaniyah,Iraq,7701193112,7701553131,,diawar.karim@iraqcom.biz,"
  IT   ",2015
Mir Mazn  PVC Co,Mir Mazn  PVC Co,100m St60m St,Erbil,Iraq,7504295008,7504296008,,mir_mazn@yahoo.com,"
  Aluminium & Glass   ",0
IP Technologies,IP Technologies,Nawroz St,Erbil,Iraq,7503082097,,,ma@ipiraq.com,"
  IT   ",2015
Mirac Co PVC,Mirac Co PVC,100m St,Erbil,Iraq,7504860014,7504860015,info@miracaluminyum.com,info@miracaluminyum.com,"
  Aluminium & Glass   ",0
Montasser Media Co PVC,Montasser Media Co PVC,Baghdad,Baghdad,Iraq,7712907133,7901391571,,montasser_media@yahoo.com,"
  Aluminium & Glass   ",0
Mohammed AlMousawi Co,Mohammed AlMousawi Co,Alwatan St,Basra,Iraq,7801406082,7808551448,,,"
  Aluminium & Glass   ",0
Nowzad Company PVC,Nowzad Company PVC,60m St,Erbil,Iraq,7507150101,7704015888,,nit.group@yahoo.com,"
  Aluminium & Glass   ",0
