Company Name,Category,Landmark,Building,Street,City,Country,Mobile,Mobile,Email,,,,,,,,,,,Company Name,Founded,Mobile,Phone,Website,Email,Views
Al-Sultan Mobil,"
 | Communications |  ",,,Zayouna-Al Rubaie St ,Baghdad,Iraq,07902616308, 07703496666,,,,,,,,,,,,Al-Sultan Mobil,0000,07902616308,,,,650,,,
Al-waytani  communications Co.,"
 | Communications |  ",,,14 Ramdan ,Baghdad,Iraq,07808659002,07901418384, 07809166928 ,,,,,,,,,,,Al-waytani  communications Co.,0000,07808659002,,,,639,,,
Asia Cell,"
 | Communications |  ",,, Al-Mansour ,Baghdad,Iraq,07701115121,07701195808,07701115120,,marketingdirector@asiacell.com,sales&distribution@asiacell.com ,,,,,,,,Asia Cell,0000,07701115121,,www.asiacell.com,marketingdirector@asiacell.com,11755,,,
Aso Kurdistan Telecom,"
 | Communications |  ",Near Cihan Group,,100th m St,Erbil,Iraq,07504652801,,info@aso-telecom.com,,,,,,,,,,,Aso Kurdistan Telecom,0000,07504652801,,www.aso-telecom.com,info@aso-telecom.com,5126,,,
Baraq Cell Co,"
 | Communications |  ",opp. Baghdad Hotel,,Sadoon,Baghdad,Iraq,7901348635,,,,,,,,,,,,,Baraq Cell Co,0000,7901348635,,,,551,,,
Betel co,"
 | Communications |  ",,,60 m St.,Erbil,Iraq,07504452230,,info@betel-net.com,,,,,,,,,,,Betel co,0000,07504452230,,www.betel-net.com,info@betel-net.com,589,,,
Cis  Erbil co,"
 | Communications |  ",,Villa No: 253,Italian Village,Erbil,Iraq,07508992060,07508992050,964662641760,tony@ciserbil.com,,,,,,,,,,Cis  Erbil co,0000,07508992060,964662641760,www.groupcis.com,tony@ciserbil.com,3856,,,
City Telecom Mobile co,"
 | Communications |  ",,,Karada,Baghdad,Iraq,07806809511,07700135555,07700135550,,info@city-telecom.com,,,,,,,,,City Telecom Mobile co,0000,07806809511,,www.city-telecom.com,info@city-telecom.com,2468,,,
Communica Telecommunication,"
 | Communications |  ",,,Iraq,Baghdad,Iraq,07701537420,07705482299,,farman@communicanet.com,rebin@communicanet.com ,,,,,,,,,Communica Telecommunication,0000,07701537420,,www.communicanet.com,farman@communicanet.com,562,,,
Delta Communications,"
 | Communications |  ",near Bayize Café,,30thm St,Erbil,Iraq,07507960448,07507150044,07507141004,07813921680,, info@deltairaq.net,,,,,,,,Delta Communications,0000,07507960448,,www.deltairaq.net, info@deltairaq.net,1133,,,
Earth Link communicationsCo.,"
 | Communications |  ",,,Karada Hwaidi St,Baghdad,Iraq,07810594688,07801997898,,sales@earthlinktele.com,,,,,,,,,,Earth Link communicationsCo.,0000,07810594688,,www.earthlinktele.com,sales@earthlinktele.com,502,,,
Electra Net communications,"
 | Communications |  ",,,Ankawa St,Erbil,Iraq,07508173898,,mike.fleming@electranetuk.com,,,,,,,,,,,Electra Net communications,0000,07508173898,,www.electranetuk.com,mike.fleming@electranetuk.com,565,,,
Euro Communication,"
 | Communications |  ",,,Erbil,Erbil,Iraq,07710171017, 07507958437,, Iraq_vkv@mail.ru,,,,,,,,,,Euro Communication,0000,07710171017,,, Iraq_vkv@mail.ru,508,,,
Fanoos Telecom,"
 | Communications |  ",,,Salim St,Sulaymaniyah,Iraq,07480001874,,,,,,,,,,,,,Fanoos Telecom,0000,07480001874,,www.fanoostelecom.com,,576,,,
Fedek Telecom,"
 | Communications |  ",,,Al harthiya Alkindy St,Baghdad,Iraq,07803471566,, masab@fedehtel.net,,,,,,,,,,,Fedek Telecom,0000,07803471566,,www.fedehtel.net, masab@fedehtel.net,500,,,
Frequency Co,"
 | Communications |  ",,,Shaqlawa Way-Shorash St,Erbil,Iraq,07701246666,07504053434,07504173434,07504998899,  07504453434, 964662593434,frequencyco@yahoo.com, ariwasman@gmail.com ,,,,,,Frequency Co,0000,07701246666, 964662593434,,frequencyco@yahoo.com,635,,,
Future Hawk Co.,"
 | Communications |  ",,,Karada Kharje,Baghdad,Iraq,07711355346,07905990066,,contact@f-htc.com,,,,,,,,,,Future Hawk Co.,0000,07711355346,,www.f-htc.com,contact@f-htc.com,458,,,
H T S  communications Co.,"
 | Communications |  ",,,Malik Mahmoud St.,Sulaymaniyah,Iraq,964533310148,964533310147,info@halabjagroup.com,,,,,,,,,,,H T S  communications Co.,0000,,964533310148,www.halabjagroup.com,info@halabjagroup.com,591,,,
Hilal Al-Rafidain communications Co.,"
 | Communications |  ",,,14 Ramdan St.,Baghdad,Iraq,07809126941,07809192747, 07903392905,,info@hrins.net,,,,,,,,,Hilal Al-Rafidain communications Co.,0000,07809126941,,,info@hrins.net,385,,,
Huawel Technologies Co.Ltd.,"
 | Communications |  ",,#28,ltalian Village 100m St.,Erbil,Iraq,07508172763,,,,,,,,,,,,,Huawel Technologies Co.Ltd.,0000,07508172763,,www.huawei.com,,525,,,
I reach Co.,"
 | Communications |  ",,429,Italian City Village,Erbil,Iraq,07507266860,964664545235,kamel.shokur@ireachtelecom.com,,,,,,,,,,,I reach Co.,0000,07507266860,964664545235,www.ireachtelecom.com,kamel.shokur@ireachtelecom.com,619,,,
I2,"
 | Communications |  ",opposite Iraqi Airways,,Sadoon ,Baghdad,Iraq,07901904598,96417195330 , info.i2iraq@itsalat.com,,,,,,,,,,,I2,0000,07901904598,96417195330 ,www.i2-Mobil.com, info.i2iraq@itsalat.com,362,,,
I-Tech ,"
 | Communications |  ",,,Al Harthia Kindy St,Baghdad,Iraq,07901323291, 07901323293,,itech_2007@yahoo.com, itechnew@gmail.com,,,,,,,,,I-Tech ,0000,07901323291,,,itech_2007@yahoo.com,442,,,
Itisaluna,"
 | Communications |  ",,,Arassart El Hendia ,Baghdad,Iraq,07400400400,07400500500,,info@itisaluna.com,,,,,,,,,,Itisaluna,0000,07400400400,,www.itisaluna.com,info@itisaluna.com,366,,,
Joinus communications,"
 | Communications |  ",Behind Gas Station,,Ankawa St,Erbil,Iraq,964662535888,info@joinus.net.co,,,,,,,,,,,,Joinus communications,0000,,964662535888,www.joinus.net.co,info@joinus.net.co,465,,,
Kalimat Al-Mostaqbal co,"
 | Communications |  ",,14- B.8 – H2/a,Zayouna M 714  St ,Baghdad,Iraq,07435300111,,kalimat_al_mostaqbal@yahoo.com,,,,,,,,,,,Kalimat Al-Mostaqbal co,0000,07435300111,,www.kalimattelecom.com,kalimat_al_mostaqbal@yahoo.com,345,,,
Khalava Co,"
 | Communications |  ",,,KRO St.,Duhok,Iraq,9647701104550,9647709113333,,khalava.asiacell@gmail.com,,,,,,,,,,Khalava Co,0000,9647701104550,,,khalava.asiacell@gmail.com,457,,,
Korek Telecom,"
 | Communications |  ",,Korek building Pirmam,Kurdistan St,Erbil,Iraq,07504450022,662423406,info@korektel.com,,,,,,,,,,,Korek Telecom,0000,07504450022,662423406,www.korektel.com,info@korektel.com,424,,,
Kurdo Card Co,"
 | Communications |  ",,,40m St.,Duhok,Iraq,07709500142, 07508677494,,,,,,,,,,,,Kurdo Card Co,0000,07709500142,,,,473,,,
Kurdtel Co. Ltd.,"
 | Communications |  ",,,Kawa St.,Sulaymaniyah,Iraq,964533139400,info@kurdtel.net,,,,,,,,,,,,Kurdtel Co. Ltd.,0000,,964533139400,www.kurdtel.net,info@kurdtel.net,2412,,,
Maekeront co,"
 | Communications |  ",,,Hay Albaladiya,Karbala,Iraq,07708787874,,waal_azher@yahoo.com,micronet-it@yahoo.com,,,,,,,,,,Maekeront co,0000,07708787874,,,waal_azher@yahoo.com,392,,,
Maraj  Al-Bahrain ,"
 | Communications |  ",,,Karada Dakhil ,Baghdad,Iraq,07801031000,07810210333,07808222888, 07901914130,96417187327, zain@morajalbhrain.com,,,,,,,,Maraj  Al-Bahrain ,0000,07801031000,96417187327,www.morajalbhrain.com, zain@morajalbhrain.com,309,,,
Masarat communications Co.,"
 | Communications |  ",,,zayouna main St,Baghdad,Iraq,0780805038, 07902272267,,info@gccitcom.com,,,,,,,,,,Masarat communications Co.,0000,0780805038,,www.gccitcom.com,info@gccitcom.com,316,,,
Maxy Tel communications.,"
 | Communications |  ",,,Nawroz St.,Erbil,Iraq,07501386136,964662646622,info@maxytel.com,,,,,,,,,,,Maxy Tel communications.,0000,07501386136,964662646622,www.maxytel.com,info@maxytel.com,438,,,
Nawand Telecom,"
 | Communications |  ",,,60th m St.,Erbil,Iraq,07501146822,964662575310,waleed.surchi@nawand.net,,,,,,,,,,,Nawand Telecom,0000,07501146822,964662575310,www. nawand.net,waleed.surchi@nawand.net,634,,,
Neide Telecom,"
 | Communications |  ",,,Erbil,Erbil,Iraq,07504325709,964664544409,964663510003,Ibrahim.sarmad@neidetelecom.com,,,,,,,,,,Neide Telecom,0000,07504325709,964664544409,www.neidetelecom.com,Ibrahim.sarmad@neidetelecom.com,736,,,
Nevan Co. ,"
 | Communications |  ",Opposite to clinic Dr.HabibMaleh,,Ankawa,Erbil,Iraq,07504523763,07504453740,07504729488,, nevaninternet@yahoo.com,,,,,,,,,Nevan Co. ,0000,07504523763,,, nevaninternet@yahoo.com,275,,,
NewRoz  communications.,"
 | Communications |  ",,,Karez St.,Erbil,Iraq,07706405461,964662593667,964662201550,amange.basll@newroztelecom.com,,,,,,,,,,NewRoz  communications.,0000,07706405461,964662593667,www.newroztelecom.com,amange.basll@newroztelecom.com,338,,,
Niara Co. Ltd.,"
 | Communications |  ",,,Sulamanya,Sulaymaniyah,Iraq,07501128164, 07701521805,,naira.co@hotmail.com, info@niara.biz ,,,,,,,,,Niara Co. Ltd.,0000,07501128164,,www.niara.biz,naira.co@hotmail.com,2363,,,
North Teams,"
 | Communications |  ",,,Bakhtyary St.,Sulaymaniyah,Iraq,07702134059,, bahzad.farid@northteams.com,,,,,,,,,,,North Teams,0000,07702134059,,, bahzad.farid@northteams.com,330,,,
Omnnea Wireless Telecom,"
 | Communications |  ",,,Baghdad,Baghdad,Iraq,07601990300,07600000888,,info@omnnea.com,,,,,,,,,,Omnnea Wireless Telecom,0000,07601990300,,www.omnnea.com,info@omnnea.com,249,,,
Reber,"
 | Communications |  ",,,Ankawa,Erbil,Iraq,664544230,662593593, Soran.mohammed@newroztelecom.com,,,,,,,,,,,Reber,0000,,664544230,, Soran.mohammed@newroztelecom.com,404,,,
Rey Telecom,"
 | Communications |  ",,House No.395,English Village ,Erbil,Iraq,07503284733, 07507679240,,govan.s@rey-telecom.com, marketing@rey-telecom.com,,,,,,,,,Rey Telecom,0000,07503284733,,www.rey-telecom.com,govan.s@rey-telecom.com,539,,,
Scope Sky Communications,"
 | Communications |  ",,,Erbil,Erbil,Iraq,07905465120,07702540903,,ahmed_4g4@yahoo.com, ahmed@scopesky.net,,,,,,,,,Scope Sky Communications,0000,07905465120,,,ahmed_4g4@yahoo.com,433,,,
Sefin  communications.,"
 | Communications |  ",,,Bakhtyari St.,Erbil,Iraq,07504050001,,info@sefintel.com,,,,,,,,,,,Sefin  communications.,0000,07504050001,,www.sefintel.com,info@sefintel.com,333,,,
Sefin Tele Communication ltd.,"
 | Communications |  ",,,Erbil,Erbil,Iraq,07504050001, 07504050010,,kirmanj@sefintel.com, info@sefintel.com,,,,,,,,,Sefin Tele Communication ltd.,0000,07504050001,,www.sefintel.com,kirmanj@sefintel.com,360,,,
Shana Co.,"
 | Communications |  ",,,Medan Ahmaed,Duhok,Iraq,07504455040,07700505040,07700505050,,shana.asiacell@gmail.com,,,,,,,,,Shana Co.,0000,07504455040,,,shana.asiacell@gmail.com,370,,,
Show Time,"
 | Communications |  ",opp. Iraq airways,Itsalat Building second floor,Al Sadoon St.,Baghdad,Iraq,07901906655,17195519,,,,,,,,,,,,Show Time,0000,07901906655,17195519,,,298,,,
Sinatel Co. Ltd. ,"
 | Communications |  ",Beside Sailo,,60thm St,Erbil,Iraq,07504537216,964662516182,hoshmand@sinatel.org, hoshmand73@yahoo.com,,,,,,,,,,Sinatel Co. Ltd. ,0000,07504537216,964662516182,www.Sinatel.org,hoshmand@sinatel.org,438,,,
Sky Net,"
 | Communications |  ",,,Ankawa,Erbil,Iraq,07501447483,,erbil@skynetiq.com,,,,,,,,,,,Sky Net,0000,07501447483,,,erbil@skynetiq.com,266,,,
Sonix Electronics,"
 | Communications |  ",,,100th m St.,Erbil,Iraq,07704456335,07504456335,hikmat@samsima.net,sonix@samsima.net,,,,,,,,,,Sonix Electronics,0000,07704456335,hikmat@samsima.net,www. samsima.net,,355,,,
Southern Telecommunication Co.,"
 | Communications |  ",,,Al Barathia,Basra,Iraq,07704925301,96440642599,9644040642555, south_te@yahoo.com,,,,,,,,,,Southern Telecommunication Co.,0000,07704925301,96440642599,, south_te@yahoo.com,263,,,
Talia Satellite & Telecom,"
 | Communications |  ",,,Al Mansour Al Amirat,Baghdad,Iraq,07800553980, 07712218263,, havi@talia.net,,,,,,,,,,Talia Satellite & Telecom,0000,07800553980,,www.talia.net, havi@talia.net,249,,,
Tishk Net communications Co.,"
 | Communications |  ",,,Malik Mahmoud St.,Sulaymaniyah,Iraq,964535710,info@tishknet.com,,,,,,,,,,,,Tishk Net communications Co.,0000,,964535710,www.tishknet.com,info@tishknet.com,1056,,,
Via Telecom,"
 | Communications |  ",,,Erbil,Erbil,Iraq,07504493555,, muafaqshareef@yahoo.com,,,,,,,,,,,Via Telecom,0000,07504493555,,, muafaqshareef@yahoo.com,614,,,
Vision (Security & Telecom),"
 | Communications |  ",in front of Hawler Restaurant,,Ankawa St.,Erbil,Iraq,07504451104,, edygho@atsecurity.info,,,,,,,,,,,Vision (Security & Telecom),0000,07504451104,,, edygho@atsecurity.info,377,,,
Vlatacom Communications.,"
 | Communications |  ",,No.312,English Village ,Erbil,Iraq,9647507980703,,info@vlatacom.com,,,,,,,,,,,Vlatacom Communications.,0000,9647507980703,,www.vlatacom.com,info@vlatacom.com,426,,,
Zahrat Al-Sanaria Co.,"
 | Communications |  ",,,Mosul,Mosul,Iraq,07701742471,, alsaffarbasman@gmail.com,,,,,,,,,,,Zahrat Al-Sanaria Co.,0000,07701742471,,, alsaffarbasman@gmail.com,1295,,,
Zain,"
 | Communications |  ",,14- dist. 605,Almansoor-Hay Almutanabi –bldg. 47-str. ,Baghdad,Iraq,15410960,,,,,,,,,,,,,Zain,0000,,15410960,www.zain.com,,820,,,
Zozik  communications Co.,"
 | Communications |  ",,,Erbil,Erbil,Iraq,07504956356,964662641334,Bzhar_gardy@hotmail.com,bzhargardy@yahoo.com,,,,,,,,,,Zozik  communications Co.,0000,07504956356,964662641334,www.zozik.com,Bzhar_gardy@hotmail.com,2049,,,
Cybertronics ,"
 | Computers |  | Internet |  | IT |  ",behind ganjan main office buliding,villa 1431,ganjan city ,Erbil,Iraq,07509113238,07509113239,07504497555,07503244061,info@cybertonicsltd.com,,,,,,,,,Call center,2013,07509113238,07504497555,http://www.cybertronicsltd.com,info@cybertonicsltd.com,5518,,,
Trans Arabia Marine Services Co,"
 | Transport & Shipment |  ","Al-Rahman Mosque, Next to Al-Qarya Al-Lubananiyah Rest.",Sayeed Ibrahim Al-Awsaj Buildin,Al-Mansour Street,Baghdad,Iraq,009647826886943,009647708378049,,info@transarabiaa.com,ops@transarabiaa.com,mgmt@transarabiaa.com,,,,,,,,Capt Muhanad Alwan,2011,009647826886943,,www.transarabiaa.com,info@transarabiaa.com,413,,,
Clue Company for Decoration,"
 | Aluminium & Glass |  | Ceramics |  | Contracting |  | Decor |  | Furniture |  | Insulating Materials |  | State Owned Ent. (SOE) |  ", MRF tower,,meter 100 ,Erbil,Iraq,07508470049,,decoration@cluecompany.com,,,,,,,,,,,07508470049,2006,07508470049,,www.cluecompany.com,decoration@cluecompany.com,807,,,
Asuman  P.V.C Co.,"
 | Aluminium & Glass |  ",Behind of Car Customs,,100 m St,Erbil,Iraq,0662226638,0662524167,,,,,,,,,,,,Asuman  P.V.C Co.,0000,0662226638,0662524167,www.akopvc.com,,578,,,
Clue  Company,"
 | Contracting |  | Decor |  | General Trading & Contracting |  | State Owned Ent. (SOE) |  ",مجاور قاعة اشتي,(  شركة متخصصه باعمال تصميم الديكور والمقاولات الثانويه وايضا هندسه الحدائق وزراعتها مع التصاميم  ),100 متري ,Erbil,Iraq,07508470049,,,,,,,,,,,,,07508470049,2006,07508470049,, www.cluecompany.com,,504,,,
REBER ELECTRIC,"
 | Contracting |  | Electric Materials |  | General Trading & Contracting |  ",zaxo,,zaxo,Zakho,Iraq,009647503023333,+9647503906921,00905321662884,00905078345262,009647507781887,www.reberelektrik@gmail.com,,,,,,,,009647503023333,1994,009647503023333,009647507781887,www.reberelektrik@gmail.com,www.reberelektrik@gmail.com,383,,,
AlDaleel  IT,"
 | IT |  ",,,Hay Alkindi,Baghdad,Iraq,07901907253,07400188998,baghdad@aldaleel-int.com,,,,,,,,,,,0000,2013,07901907253,07400188998,www.aldaleel-int.com,baghdad@aldaleel-int.com,465,,,
AlWusool Co,"
 | IT |  ",,,alsina,Baghdad,Iraq,07901187588,07400227168,,info@alwusool.com,mohammed@alwusool.com,,,,,,,,,1,2015,07901187588,,www.alwusool.com,info@alwusool.com,308,,,
AlSaffar It,"
 | IT |  ",,,alsnai,Erbil,Iraq,07507835780,,erbil@alsaffar.co,,,,,,,,,,,2,2014,07507835780,,,erbil@alsaffar.co,377,,,
AlMasa It Solution,"
 | IT |  ",,,baghdad,Baghdad,Iraq,07702577355,1-7188952,hameed.it@masairaq.com,,,,,,,,,,,AlMasa It Solution,2004,07702577355,1-7188952,www.masairaq.com,hameed.it@masairaq.com,616,,,
AlFiker Information Technology,"
 | IT |  ",,,baghdad,Baghdad,Iraq,07901176702,1-7174633-1-7174850,al_fiker@yahoo.com,,,,,,,,,,,AlFiker Information Technology,0000,07901176702,1-7174633-1-7174850,,al_fiker@yahoo.com,383,,,
Al Sadeer Company  PVC ,"
 | Aluminium & Glass |  ",,,Alsamair,Basra,Iraq,00964 7801024334,00964 7710822200,,,,,,,,,,,,0000,0000,,00964 7801024334,,,565,,,
AlAseel CoPVC,"
 | Aluminium & Glass |  ",,,Nasier Sq Tunisia St,Baghdad,Iraq,07710066080,07905371586, 07808899392,,,,,,,,,,,0000,0000,07710066080,,,,442,,,
AlEssam CoPVC,"
 | Aluminium & Glass |  ",,,Nasir Sq,Baghdad,Iraq,07901906937,07708000999,07901906938,,eagle_nn1@yahoo.com,,,,,,,,,0000,0000,07901906937,,,eagle_nn1@yahoo.com,439,,,
AlGaohra Turkish COPVC,"
 | Aluminium & Glass |  ",,,Nasier Sq,Baghdad,Iraq,7905271027,,,,,,,,,,,,,0000,0000,7905271027,,,,457,,,
AlJawharaa Co,"
 | Aluminium & Glass |  ",,,Tunis St,Baghdad,Iraq,07902371465,07709942019,,,,,,,,,,,,0000,0000,07902371465,,,,439,,,
AlRawaa Alturkeyah Co,"
 | Aluminium & Glass |  ",,,Falestain St,Baghdadi,Iraq,07506096747,07903180291,,,,,,,,,,,,0000,0000,07506096747,,,,361,,,
AlHassan CoPVC,"
 | Aluminium & Glass |  ",,,Nasser Sq,Baghdad,Iraq,07709113350,07705451532,0 7709114470,, al_hassangroup@yahoo.com,,,,,,,,,0000,0000,07709113350,,, al_hassangroup@yahoo.com,393,,,
AlQamer Office PVC,"
 | Aluminium & Glass |  ",,,AlNaser SqTunis St,Baghdad,Iraq,0702508985,07704672592,07901417788,,,,,,,,,,,0000,0000,0702508985,,,,372,,,
AlKing Co,"
 | Aluminium & Glass |  ",Near of Al Matabakh Alsharqi,,AlJadrya N,Baghdad,Iraq,07703233871,07813625086,,alsharqi_co@yahoo.com,,,,,,,,,,0000,0000,07703233871,,,alsharqi_co@yahoo.com,372,,,
Alyam CoPVC,"
 | Aluminium & Glass |  ",,,Nasier Sq Tunisia St,Baghdad,Iraq,7901369366,,,,,,,,,,,,,0000,0000,7901369366,,,,351,,,
Asia Company  PVC,"
 | Aluminium & Glass |  ",,,60m St,Erbil,Iraq,7504487412,,,,,,,,,,,,,0000,0000,7504487412,,,,531,,,
Bilen  Company PVC,"
 | Aluminium & Glass |  ",,,Kareza Weshk St,Sulaymaniyah,Iraq,07503851455,07701571065,,mustafabilen49@hotmail.com,,,,,,,,,,0000,0000,07503851455,,,mustafabilen49@hotmail.com,412,,,
Boss Co PVC,"
 | Aluminium & Glass |  ",,,60m StNear The White Mosque,Erbil,Iraq,07504091414,07504534369,07504091313,,boss_co@live.de,,,,,,,,,0000,0000,07504091414,,,boss_co@live.de,396,,,
Beyoutat Co PVC,"
 | Aluminium & Glass |  ",,,Italian City No362,Erbil,Iraq,7501988432,,beyoutat@yahoo.com,,,,,,,,,,,0000,0000,7501988432,,,beyoutat@yahoo.com,605,,,
Casia Company PVC,"
 | Aluminium & Glass |  ",,,Malik Mahmoud St,Sulaymaniyah,Iraq,07701527673,07702101914,07701520269,00964 533390088,,,,,,,,,,0000,0000,07701527673,00964 533390088,,,459,,,
